1313, 50000, 2123
1313, 50000, 2129
1313, 50000, 2065
1313, 50000, 2076
1313, 50000, 2047
1313, 50000, 2105
1313, 50000, 2056
1313, 50000, 2138
1313, 50000, 2105
1313, 50000, 2097
1313, 50000, 2078
1313, 50000, 2063
1313, 50000, 2123
1313, 50000, 2115
1313, 50000, 2119
1313, 50000, 2068
1313, 50000, 2044
1313, 50000, 2093
1313, 50000, 1974
1313, 50000, 2092
1313, 50000, 2023
1313, 50000, 2081
1313, 50000, 2078
1313, 50000, 2091
1313, 50000, 1992
1313, 50000, 2008
1313, 50000, 2065
1313, 50000, 2029
1313, 50000, 2012
1313, 50000, 1985
1313, 50000, 2014
1313, 50000, 2043
1313, 50000, 2026
1313, 50000, 2049
1313, 50000, 2072
1313, 50000, 2061
1313, 50000, 2042
1313, 50000, 2130
1313, 50000, 1991
1313, 50000, 2135
1313, 50000, 2080
1313, 50000, 2059
1313, 50000, 1972
1313, 50000, 2014
1313, 50000, 2100
1313, 50000, 2075
1313, 50000, 2105
1313, 50000, 2096
1313, 50000, 2022
1313, 50000, 2003
1313, 50000, 2015
1313, 50000, 2196
1313, 50000, 1991
1313, 50000, 2049
1313, 50000, 2109
1313, 50000, 2121
1313, 50000, 2033
1313, 50000, 2054
1313, 50000, 2080
1313, 50000, 2069
1313, 50000, 2038
1313, 50000, 2003
1313, 50000, 1993
1313, 50000, 1986
1313, 50000, 2099
1313, 50000, 2025
1313, 50000, 2059
1313, 50000, 2048
1313, 50000, 2044
1313, 50000, 2063
1313, 50000, 2057
1313, 50000, 1998
1313, 50000, 2099
1313, 50000, 2043
1313, 50000, 1938
1313, 50000, 2037
1313, 50000, 2147
1313, 50000, 2077
1313, 50000, 2020
1313, 50000, 2044
1313, 50000, 2022
1313, 50000, 2131
1313, 50000, 2050
1313, 50000, 2028
1313, 50000, 2140
1313, 50000, 2034
1313, 50000, 1989
1313, 50000, 2117
1313, 50000, 2113
1313, 50000, 2028
1313, 50000, 2065
1313, 50000, 2059
1313, 50000, 2060
1313, 50000, 2006
1313, 50000, 2124
1313, 50000, 2116
1313, 50000, 2102
1313, 50000, 2000
1313, 50000, 2066
1313, 50000, 2060
